E:\Behavioural Cloning\IMG\center_2022_03_02_00_53_24_807.jpg,E:\Behavioural Cloning\IMG\left_2022_03_02_00_53_24_807.jpg,E:\Behavioural Cloning\IMG\right_2022_03_02_00_53_24_807.jpg,0,0,0,3.289567E-05
E:\Behavioural Cloning\IMG\center_2022_03_02_00_53_24_878.jpg,E:\Behavioural Cloning\IMG\left_2022_03_02_00_53_24_878.jpg,E:\Behavioural Cloning\IMG\right_2022_03_02_00_53_24_878.jpg,0,0,0,1.8468E-05
E:\Behavioural Cloning\IMG\center_2022_03_02_00_53_24_958.jpg,E:\Behavioural Cloning\IMG\left_2022_03_02_00_53_24_958.jpg,E:\Behavioural Cloning\IMG\right_2022_03_02_00_53_24_958.jpg,0,0,0,8.979344E-06
E:\Behavioural Cloning\IMG\center_2022_03_02_00_53_25_039.jpg,E:\Behavioural Cloning\IMG\left_2022_03_02_00_53_25_039.jpg,E:\Behavioural Cloning\IMG\right_2022_03_02_00_53_25_039.jpg,0,0,0,1.503246E-05
E:\Behavioural Cloning\IMG\center_2022_03_02_00_53_25_123.jpg,E:\Behavioural Cloning\IMG\left_2022_03_02_00_53_25_123.jpg,E:\Behavioural Cloning\IMG\right_2022_03_02_00_53_25_123.jpg,0,0,0,2.298844E-06
E:\Behavioural Cloning\IMG\center_2022_03_02_00_53_25_206.jpg,E:\Behavioural Cloning\IMG\left_2022_03_02_00_53_25_206.jpg,E:\Behavioural Cloning\IMG\right_2022_03_02_00_53_25_206.jpg,-0.15,0.0977775,0,0.08210096
E:\Behavioural Cloning\IMG\center_2022_03_02_00_53_25_287.jpg,E:\Behavioural Cloning\IMG\left_2022_03_02_00_53_25_287.jpg,E:\Behavioural Cloning\IMG\right_2022_03_02_00_53_25_287.jpg,-0.35,0.3396654,0,0.2627733
E:\Behavioural Cloning\IMG\center_2022_03_02_00_53_25_369.jpg,E:\Behavioural Cloning\IMG\left_2022_03_02_00_53_25_369.jpg,E:\Behavioural Cloning\IMG\right_2022_03_02_00_53_25_369.jpg,0,0.5878362,0,0.6914139
E:\Behavioural Cloning\IMG\center_2022_03_02_00_53_25_450.jpg,E:\Behavioural Cloning\IMG\left_2022_03_02_00_53_25_450.jpg,E:\Behavioural Cloning\IMG\right_2022_03_02_00_53_25_450.jpg,0,0.8298733,0,1.4009
E:\Behavioural Cloning\IMG\center_2022_03_02_00_53_25_530.jpg,E:\Behavioural Cloning\IMG\left_2022_03_02_00_53_25_530.jpg,E:\Behavioural Cloning\IMG\right_2022_03_02_00_53_25_530.jpg,0,1,0,2.278709
E:\Behavioural Cloning\IMG\center_2022_03_02_00_53_25_611.jpg,E:\Behavioural Cloning\IMG\left_2022_03_02_00_53_25_611.jpg,E:\Behavioural Cloning\IMG\right_2022_03_02_00_53_25_611.jpg,0,1,0,3.208459
E:\Behavioural Cloning\IMG\center_2022_03_02_00_53_25_691.jpg,E:\Behavioural Cloning\IMG\left_2022_03_02_00_53_25_691.jpg,E:\Behavioural Cloning\IMG\right_2022_03_02_00_53_25_691.jpg,0,1,0,4.150535
E:\Behavioural Cloning\IMG\center_2022_03_02_00_53_25_772.jpg,E:\Behavioural Cloning\IMG\left_2022_03_02_00_53_25_772.jpg,E:\Behavioural Cloning\IMG\right_2022_03_02_00_53_25_772.jpg,-0.1,1,0,5.081276
E:\Behavioural Cloning\IMG\center_2022_03_02_00_53_25_852.jpg,E:\Behavioural Cloning\IMG\left_2022_03_02_00_53_25_852.jpg,E:\Behavioural Cloning\IMG\right_2022_03_02_00_53_25_852.jpg,-0.3,1,0,5.991513
E:\Behavioural Cloning\IMG\center_2022_03_02_00_53_25_932.jpg,E:\Behavioural Cloning\IMG\left_2022_03_02_00_53_25_932.jpg,E:\Behavioural Cloning\IMG\right_2022_03_02_00_53_25_932.jpg,-0.5000001,1,0,6.876071
E:\Behavioural Cloning\IMG\center_2022_03_02_00_53_26_013.jpg,E:\Behavioural Cloning\IMG\left_2022_03_02_00_53_26_013.jpg,E:\Behavioural Cloning\IMG\right_2022_03_02_00_53_26_013.jpg,0,1,0,7.759431
E:\Behavioural Cloning\IMG\center_2022_03_02_00_53_26_096.jpg,E:\Behavioural Cloning\IMG\left_2022_03_02_00_53_26_096.jpg,E:\Behavioural Cloning\IMG\right_2022_03_02_00_53_26_096.jpg,0,1,0,8.662419
E:\Behavioural Cloning\IMG\center_2022_03_02_00_53_26_179.jpg,E:\Behavioural Cloning\IMG\left_2022_03_02_00_53_26_179.jpg,E:\Behavioural Cloning\IMG\right_2022_03_02_00_53_26_179.jpg,0,1,0,9.782786
E:\Behavioural Cloning\IMG\center_2022_03_02_00_53_26_258.jpg,E:\Behavioural Cloning\IMG\left_2022_03_02_00_53_26_258.jpg,E:\Behavioural Cloning\IMG\right_2022_03_02_00_53_26_258.jpg,-0.15,1,0,10.66549
E:\Behavioural Cloning\IMG\center_2022_03_02_00_53_26_338.jpg,E:\Behavioural Cloning\IMG\left_2022_03_02_00_53_26_338.jpg,E:\Behavioural Cloning\IMG\right_2022_03_02_00_53_26_338.jpg,0,1,0,11.64453
E:\Behavioural Cloning\IMG\center_2022_03_02_00_53_26_419.jpg,E:\Behavioural Cloning\IMG\left_2022_03_02_00_53_26_419.jpg,E:\Behavioural Cloning\IMG\right_2022_03_02_00_53_26_419.jpg,0,1,0,12.45842
E:\Behavioural Cloning\IMG\center_2022_03_02_00_53_26_497.jpg,E:\Behavioural Cloning\IMG\left_2022_03_02_00_53_26_497.jpg,E:\Behavioural Cloning\IMG\right_2022_03_02_00_53_26_497.jpg,0,1,0,13.16843
E:\Behavioural Cloning\IMG\center_2022_03_02_00_53_26_578.jpg,E:\Behavioural Cloning\IMG\left_2022_03_02_00_53_26_578.jpg,E:\Behavioural Cloning\IMG\right_2022_03_02_00_53_26_578.jpg,0,1,0,14.23719
E:\Behavioural Cloning\IMG\center_2022_03_02_00_53_26_655.jpg,E:\Behavioural Cloning\IMG\left_2022_03_02_00_53_26_655.jpg,E:\Behavioural Cloning\IMG\right_2022_03_02_00_53_26_655.jpg,0,1,0,14.74296
E:\Behavioural Cloning\IMG\center_2022_03_02_00_53_26_735.jpg,E:\Behavioural Cloning\IMG\left_2022_03_02_00_53_26_735.jpg,E:\Behavioural Cloning\IMG\right_2022_03_02_00_53_26_735.jpg,0,1,0,15.59462
